"ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.StatusRulesetCode","Language","Name","SourceLang"
"DOO","Copy 1 of ClickShipCollect1","DK","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","E","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","EL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ESA","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ET","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","F","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","FRC","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","HR","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","HU","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","I","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","IS","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","IW","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","JA","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","KO","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","LT","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","LV","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","N","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","NL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","PL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","PT","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","PTB","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","RO","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","RU","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","S","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","SF","Copy 1 of ClickShipCollect1","US"
