"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.DooProcessVersion","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.StepNumber","Language","SourceLang","StepName","SplitUnitDisplayName"
"2","ClickShipCollect2","DOO","2","200","D","D","Planen","Aufteilen"
"2","ClickShipCollect2","DOO","2","200","DK","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","E","E","Programa","Fraccionar"
"2","ClickShipCollect2","DOO","2","200","EL","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","ESA","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","ET","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","F","F","Programme","Fractionner"
"2","ClickShipCollect2","DOO","2","200","FRC","FRC","Programme","Fractionner"
"2","ClickShipCollect2","DOO","2","200","HR","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","HU","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","I","I","Schedulazione","Dividere"
"2","ClickShipCollect2","DOO","2","200","IS","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","IW","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","JA","JA","スケジュール","分割"
"2","ClickShipCollect2","DOO","2","200","KO","KO","일정","분열"
"2","ClickShipCollect2","DOO","2","200","LT","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","LV","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","N","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","NL","NL","Planning","Split"
"2","ClickShipCollect2","DOO","2","200","PL","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","PT","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","PTB","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","RO","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","RU","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","S","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","SF","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","SK","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","SL","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","TH","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","TR","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","UK","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","US","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","VN","US","Schedule","Split"
"2","ClickShipCollect2","DOO","2","200","ZHS","ZHS","计划","拆分"
"2","ClickShipCollect2","DOO","2","200","ZHT","ZHT","計劃","拆分"
